age,d13c,d18o
24.314,0.948,1.557
24.324,0.941,1.503
24.340,0.878,1.603
24.348,0.907,1.380
24.352,0.547,1.820
24.353,0.567,
24.356,0.844,1.327
24.357,0.726,1.711
24.359,0.890,1.360
24.360,0.839,1.385
24.363,0.680,1.640
24.366,0.899,1.578
24.369,1.135,1.641
24.372,0.478,1.505
24.374,,1.250
24.374,0.590,1.419
24.378,0.576,0.974
24.380,0.406,0.997
24.390,0.779,1.422
24.393,0.790,1.380
24.394,0.559,1.280
24.402,,1.333
24.404,0.850,1.184
24.406,0.957,1.227
24.409,,1.620
24.412,0.932,1.400
24.419,0.796,1.374
24.426,0.915,1.716
24.432,0.889,1.630
24.433,0.760,1.750
24.436,0.692,1.573
24.437,1.002,1.833
24.439,0.966,1.769
24.440,0.504,2.046
24.440,0.760,1.750
24.441,0.633,1.400
24.442,0.766,1.960
24.444,0.628,1.704
24.444,0.864,1.406
24.447,0.670,1.630
24.447,0.652,1.495
24.448,0.770,1.349
24.449,0.805,1.469
24.451,0.638,1.412
24.451,0.601,1.385
24.453,0.750,1.336
24.456,0.789,1.530
24.457,0.939,1.519
24.459,0.678,1.682
24.460,0.787,1.751
24.464,0.567,1.257
24.467,0.563,1.208
24.475,0.514,1.309
24.476,0.575,1.380
24.477,0.480,1.380
24.478,0.518,1.553
24.478,0.634,1.488
24.480,0.576,1.816
24.480,0.455,1.254
24.482,0.649,1.511
24.482,0.872,1.563
24.484,0.814,1.455
24.484,0.671,1.569
24.485,0.550,1.410
24.488,0.642,1.317
24.489,0.410,1.475
24.494,0.453,1.117
24.496,0.572,1.491
24.501,0.583,1.129
24.504,0.645,1.338
24.508,0.601,1.383
24.510,0.560,1.360
24.511,0.546,1.165
24.515,0.475,1.309
24.518,0.822,1.630
24.519,0.583,1.539
24.521,0.224,1.367
24.522,0.821,1.658
24.524,0.506,1.951
24.525,0.700,1.674
24.526,0.760,
24.531,0.764,1.389
24.531,0.574,1.446
24.537,0.825,1.534
24.537,0.541,1.557
24.539,0.644,1.279
24.540,0.728,1.493
24.543,0.623,1.531
24.544,0.785,1.489
24.548,0.595,1.457
24.550,0.106,1.930
24.554,0.731,1.408
24.557,0.874,1.696
24.558,0.634,1.547
24.563,0.471,1.290
24.571,0.700,1.573
24.575,0.419,1.483
24.577,0.546,1.304
24.579,0.602,1.395
24.583,0.413,1.052
24.590,0.239,1.214
24.598,0.640,1.207
24.602,0.413,1.184
24.610,0.595,1.139
24.617,0.775,1.578
24.624,0.522,1.177
24.632,0.889,1.687
24.638,0.678,1.623
24.646,0.838,1.481
24.650,0.915,1.518
24.652,0.735,1.486
24.656,0.669,1.378
24.660,0.682,1.526
24.665,0.723,1.314
24.667,0.751,1.319
24.669,0.896,1.602
24.671,0.796,1.328
24.673,0.671,1.329
24.675,0.620,1.370
24.677,0.581,1.251
24.679,0.652,1.400
24.680,0.448,1.524
24.681,0.651,1.385
24.683,0.520,1.453
24.688,0.810,1.495
24.695,0.657,1.398
24.698,0.478,1.262
