Site,Hole,Core,Type,Section,top(cm),Species,CSF-A_new (m),offset_Roy_final,CCSF-A_Royfinal (m),Age(ka),Cibicidoides δ13C,Cibicidoides δ18O
U1337,C,13,X,4,120,Cibicidoides ,255.8,32.61,288.41,12864.3,0.564,1.963
U1337,C,13,X,4,128,Cibicidoides ,255.88,32.61,288.49,12868.0,0.768,2.241
U1337,C,13,X,4,136,Cibicidoides ,255.96,32.61,288.57,12871.7,0.145,2.024
U1337,C,13,X,4,144,Cibicidoides ,256.04,32.61,288.65,12875.5,0.669,2.266
U1337,C,13,X,5,0,Cibicidoides ,256.1,32.61,288.71,12878.3,0.546,2.035
U1337,C,13,X,5,8,Cibicidoides ,256.18,32.61,288.79,12882.0,0.677,2.078
U1337,C,13,X,5,16,Cibicidoides ,256.26,32.61,288.87,12885.8,0.442,2.308
U1337,C,13,X,5,24,Cibicidoides ,256.34,32.61,288.95,12889.5,0.971,2.390
U1337,C,13,X,5,32,Cibicidoides ,256.42,32.61,289.03,12893.3,0.744,2.042
U1337,C,13,X,5,40,Cibicidoides ,256.5,32.61,289.11,12896.3,0.675,2.080
U1337,C,13,X,5,48,Cibicidoides ,256.58,32.61,289.19,12899.0,0.846,2.148
U1337,C,13,X,5,56,Cibicidoides ,256.66,32.61,289.27,12901.6,0.927,2.168
U1337,C,13,X,5,64,Cibicidoides ,256.74,32.61,289.35,12904.3,0.568,2.298
U1337,C,13,X,5,72,Cibicidoides ,256.82,32.61,289.43,12906.9,0.769,2.306
U1337,C,13,X,5,80,Cibicidoides ,256.9,32.61,289.51,12909.6,0.807,2.221
U1337,C,13,X,5,88,Cibicidoides ,256.98,32.61,289.59,12912.2,0.752,2.261
U1337,C,13,X,5,96,Cibicidoides ,257.06,32.61,289.67,12914.9,1.110,2.461
U1337,C,13,X,5,104,Cibicidoides ,257.14,32.61,289.75,12917.5,0.909,2.199
U1337,C,13,X,5,112,Cibicidoides ,257.22,32.61,289.83,12920.2,0.878,2.466
U1337,C,13,X,5,120,Cibicidoides ,257.3,32.61,289.91,12922.9,0.910,2.395
U1337,C,13,X,5,128,Cibicidoides ,257.38,32.61,289.99,12925.5,0.984,2.372
U1337,C,13,X,5,136,Cibicidoides ,257.46,32.61,290.07,12928.2,0.305,2.431
U1337,C,13,X,5,144,Cibicidoides ,257.54,32.61,290.15,12930.8,0.798,2.210
U1337,C,13,X,6,0,Cibicidoides ,257.6,32.61,290.21,12932.9,0.865,2.081
U1337,C,13,X,6,8,Cibicidoides ,257.68,32.61,290.29,12936.1,0.636,2.148
U1337,C,13,X,6,16,Cibicidoides ,257.76,32.61,290.37,12939.4,0.949,2.138
U1337,D,30,H,3,8,Cibicidoides ,260.58,29.94,290.52,12945.5,0.670,2.315
U1337,D,30,H,3,16,Cibicidoides ,260.66,29.94,290.6,12948.8,0.880,2.544
U1337,D,30,H,3,24,Cibicidoides ,260.74,29.94,290.68,12952.0,0.879,2.347
U1337,D,30,H,3,32,Cibicidoides ,260.82,29.94,290.76,12955.3,0.827,2.065
U1337,D,30,H,3,40,Cibicidoides ,260.9,29.94,290.84,12958.6,1.116,2.265
U1337,D,30,H,3,48,Cibicidoides ,260.98,29.94,290.92,12961.8,0.810,2.167
U1337,D,30,H,3,64,Cibicidoides ,261.14,29.94,291.08,12968.4,0.556,2.050
U1337,D,30,H,3,72,Cibicidoides ,261.22,29.94,291.16,12971.9,0.733,2.050
U1337,D,30,H,3,80,Cibicidoides ,261.3,29.94,291.24,12975.5,0.723,2.139
U1337,D,30,H,3,88,Cibicidoides ,261.38,29.94,291.32,12979.1,0.733,2.280
U1337,D,30,H,3,96,Cibicidoides ,261.46,29.94,291.4,12982.8,0.626,2.340
U1337,D,30,H,3,104,Cibicidoides ,261.54,29.94,291.48,12986.4,0.682,2.415
U1337,D,30,H,3,112,Cibicidoides ,261.62,29.94,291.56,12990.0,0.697,2.581
U1337,D,30,H,3,120,Cibicidoides ,261.7,29.94,291.64,12994.2,0.960,2.460
U1337,D,30,H,3,128,Cibicidoides ,261.78,29.94,291.72,12998.3,0.771,2.446
U1337,D,30,H,3,136,Cibicidoides ,261.86,29.94,291.8,13002.5,0.929,2.323
U1337,D,30,H,3,144,Cibicidoides ,261.94,29.94,291.88,13006.7,0.897,2.417
U1337,D,30,H,4,0,Cibicidoides ,262,29.94,291.94,13009.8,0.889,2.251
U1337,D,30,H,4,8,Cibicidoides ,262.08,29.94,292.02,13013.9,0.971,2.148
U1337,D,30,H,4,16,Cibicidoides ,262.16,29.94,292.1,13016.8,0.678,2.261
U1337,D,30,H,4,24,Cibicidoides ,262.24,29.94,292.18,13019.6,0.912,2.360
U1337,D,30,H,4,32,Cibicidoides ,262.32,29.94,292.26,13022.4,0.828,2.193
U1337,D,30,H,4,40,Cibicidoides ,262.4,29.94,292.34,13025.2,0.857,2.373
U1337,D,30,H,4,48,Cibicidoides ,262.48,29.94,292.42,13028.0,0.719,2.367
U1337,D,30,H,4,56,Cibicidoides ,262.56,29.94,292.5,13030.8,0.592,2.334
U1337,D,30,H,4,64,Cibicidoides ,262.64,29.94,292.58,13033.6,0.701,2.172
U1337,D,30,H,4,72,Cibicidoides ,262.72,29.94,292.66,13036.5,0.654,2.183
U1337,D,30,H,4,80,Cibicidoides ,262.8,29.94,292.74,13039.3,0.718,2.130
U1337,D,30,H,4,88,Cibicidoides ,262.88,29.94,292.82,13042.1,0.683,2.238
U1337,D,30,H,4,96,Cibicidoides ,262.96,29.94,292.9,13044.9,0.905,2.266
U1337,D,30,H,4,104,Cibicidoides ,263.04,29.94,292.98,13047.7,0.618,2.068
U1337,D,30,H,4,112,Cibicidoides ,263.12,29.94,293.06,13050.5,0.750,1.958
U1337,D,30,H,4,120,Cibicidoides ,263.2,29.94,293.14,13053.3,0.587,1.972
U1337,D,30,H,4,128,Cibicidoides ,263.28,29.94,293.22,13056.2,0.747,2.134
U1337,D,30,H,4,136,Cibicidoides ,263.36,29.94,293.3,13059.1,1.063,2.478
U1337,D,30,H,4,144,Cibicidoides ,263.44,29.94,293.38,13062.1,0.781,2.349
U1337,D,30,H,5,0,Cibicidoides ,263.5,29.94,293.44,13064.2,0.782,2.506
U1337,D,30,H,5,8,Cibicidoides ,263.58,29.94,293.52,13067.2,0.726,2.357
U1337,D,30,H,5,16,Cibicidoides ,263.66,29.94,293.6,13070.1,0.951,2.529
U1337,D,30,H,5,24,Cibicidoides ,263.74,29.94,293.68,13073.0,0.950,2.339
U1337,D,30,H,5,32,Cibicidoides ,263.82,29.94,293.76,13075.9,0.972,2.413
U1337,D,30,H,5,40,Cibicidoides ,263.9,29.94,293.84,13078.8,0.934,2.280
U1337,D,30,H,5,48,Cibicidoides ,263.98,29.94,293.92,13081.8,0.950,2.312
U1337,D,30,H,5,56,Cibicidoides ,264.06,29.94,294,13084.7,0.826,2.170
U1337,D,30,H,5,64,Cibicidoides ,264.14,29.94,294.08,13087.6,0.933,2.127
U1337,D,30,H,5,72,Cibicidoides ,264.22,29.94,294.16,13090.5,0.863,2.188
U1337,D,30,H,5,80,Cibicidoides ,264.3,29.94,294.24,13093.5,0.922,2.081
U1337,D,30,H,5,88,Cibicidoides ,264.38,29.94,294.32,13097.4,0.797,2.111
U1337,D,30,H,5,96,Cibicidoides ,264.46,29.94,294.4,13101.2,0.855,2.091
U1337,D,30,H,5,104,Cibicidoides ,264.54,29.94,294.48,13105.1,0.847,2.187
U1337,D,30,H,5,112,Cibicidoides ,264.62,29.94,294.56,13108.9,0.934,2.145
U1337,D,30,H,5,120,Cibicidoides ,264.7,29.94,294.64,13112.8,0.771,2.028
U1337,D,30,H,5,128,Cibicidoides ,264.78,29.94,294.72,13116.6,0.919,1.879
U1337,D,30,H,5,136,Cibicidoides ,264.86,29.94,294.8,13120.5,0.777,1.915
U1337,D,30,H,5,144,Cibicidoides ,264.94,29.94,294.88,13124.4,0.932,2.172
U1337,D,30,H,6,8,Cibicidoides ,265.08,29.94,295.02,13131.1,0.778,1.832
U1337,D,30,H,6,16,Cibicidoides ,265.16,29.94,295.1,13135.6,0.411,1.809
U1337,D,30,H,6,24,Cibicidoides ,265.24,29.94,295.18,13141.1,0.747,2.020
U1337,D,30,H,6,32,Cibicidoides ,265.32,29.94,295.26,13146.7,0.755,1.996
U1337,D,30,H,6,40,Cibicidoides ,265.4,29.94,295.34,13152.2,1.114,2.242
U1337,D,30,H,6,48,Cibicidoides ,265.48,29.94,295.42,13157.8,0.960,1.943
U1337,D,30,H,6,56,Cibicidoides ,265.56,29.94,295.5,13163.3,0.670,1.884
U1337,D,30,H,6,64,Cibicidoides ,265.64,29.94,295.58,13168.9,0.663,1.746
U1337,D,30,H,6,72,Cibicidoides ,265.72,29.94,295.66,13173.0,0.571,1.686
U1337,D,30,H,6,80,Cibicidoides ,265.8,29.94,295.74,13174.8,1.007,2.053
U1337,D,30,H,6,88,Cibicidoides ,265.88,29.94,295.82,13176.7,1.037,2.385
U1337,C,14,X,1,3,Cibicidoides ,259.73,36.17,295.9,13178.6,0.830,2.171
U1337,D,30,H,6,96,Cibicidoides ,265.96,29.94,295.9,13178.6,0.902,2.282
U1337,C,14,X,1,11,Cibicidoides ,259.81,36.17,295.98,13180.4,0.864,2.087
U1337,C,14,X,1,19,Cibicidoides ,259.89,36.17,296.06,13182.3,0.700,2.154
