"age","d18o","auth"
13421.5,1.968,"Tian"
13423.6,2.103,"Tian"
13425.2,2.163,"Tian"
13428.8,2.041,"Tian"
13430.9,1.953,"Tian"
13432.9,2.185,"Tian"
13435,1.91,"Tian"
13437.1,2.012,"Tian"
13439.1,2.107,"Tian"
13441.2,2.157,"Tian"
13443.3,2.052,"Tian"
13445.4,2.184,"Tian"
13447.4,1.87,"Tian"
13449.5,2.069,"Tian"
13451.6,1.945,"Tian"
13453.6,1.888,"Tian"
13456,1.67,"Tian"
13460.1,1.998,"Tian"
13463.2,1.965,"Tian"
13467.3,2.297,"Tian"
13471.4,1.898,"Tian"
13475.5,1.997,"Tian"
13479.6,1.864,"Tian"
13487.8,1.668,"Tian"
13491.9,1.839,"Tian"
13495.9,1.631,"Tian"
13498.3,1.85,"Tian"
13500.7,1.654,"Tian"
13503.1,2.16,"Tian"
13505.4,2.003,"Tian"
13507.8,2.034,"Tian"
13510.2,2.054,"Tian"
13512.6,2.276,"Tian"
13515,2.097,"Tian"
13517.4,2.025,"Tian"
13519.7,2.058,"Tian"
13521.5,2.113,"Tian"
13523.9,2.129,"Tian"
13526.3,2.422,"Tian"
13528.7,2.139,"Tian"
13531.1,2.087,"Tian"
13533.4,2.078,"Tian"
13538.2,1.684,"Tian"
13541.6,2.073,"Tian"
13545.1,1.762,"Tian"
13548.6,1.765,"Tian"
13552.1,2.092,"Tian"
13555.6,2.142,"Tian"
13559.1,2.059,"Tian"
13562.7,2.041,"Tian"
13566.2,1.822,"Tian"
13569.7,2.079,"Tian"
13571.9,1.892,"Tian"
13573.2,1.903,"Tian"
13575.4,1.974,"Tian"
13576.7,1.843,"Tian"
13578.9,1.965,"Tian"
13579.3,1.849,"Tian"
13582.3,1.697,"Tian"
13582.6,2.068,"Tian"
13585,1.75,"Tian"
13585.3,2.175,"Tian"
13587.7,2.248,"Tian"
13588,2.252,"Tian"
13590.4,2.178,"Tian"
13590.7,2.217,"Tian"
13593.4,2.166,"Tian"
13593.4,2.14,"Tian"
13596.1,2.06,"Tian"
13596.1,2.003,"Tian"
13598.8,1.944,"Tian"
13598.8,2.297,"Tian"
13601.5,1.973,"Tian"
13601.5,2.182,"Tian"
13604.2,2.084,"Tian"
13604.2,1.846,"Tian"
13606.9,1.864,"Tian"
13606.9,1.916,"Tian"
13609.6,1.951,"Tian"
13609.6,1.988,"Tian"
13612.3,1.79,"Tian"
13612.3,1.893,"Tian"
13615,1.883,"Tian"
13617.7,1.821,"Tian"
13620.4,1.73,"Tian"
13623,1.73,"Tian"
13625.7,1.793,"Tian"
13628.3,1.781,"Tian"
13630.9,1.896,"Tian"
13633.6,1.924,"Tian"
13636.2,2.011,"Tian"
13638.8,1.998,"Tian"
13641.5,2.016,"Tian"
13643.4,2.008,"Tian"
13646.1,1.725,"Tian"
13648.7,1.69,"Tian"
13651.3,1.647,"Tian"
13654,1.861,"Tian"
13656.6,1.524,"Tian"
13659.1,1.504,"Tian"
13660.8,1.838,"Tian"
13662.6,2.035,"Tian"
13664.3,2.302,"Tian"
13666.1,2.141,"Tian"
13667.9,1.943,"Tian"
13669.6,1.972,"Tian"
13671.4,2.214,"Tian"
13673.2,2.144,"Tian"
13674.9,2.157,"Tian"
13676.7,2.131,"Tian"
13678.5,2.02,"Tian"
13682,2.165,"Tian"
13683.8,2.053,"Tian"
13685.5,2.044,"Tian"
13687.3,2.02,"Tian"
13689.1,1.773,"Tian"
13690.8,1.954,"Tian"
13692.6,2.178,"Tian"
13694.4,2.122,"Tian"
13696.1,1.894,"Tian"
13697.9,1.789,"Tian"
13699.6,1.928,"Tian"
13701.9,1.84,"Tian"
13703.6,1.758,"Tian"
13705.7,1.881,"Tian"
13707.8,1.837,"Tian"
