"age","d18o"
13105.8,2.17926315789475
13109.8,2.11800000000001
13113.8,1.98878947368422
13117.8,1.89007692307691
13121.8,2.00066666666663
13125.8,2.10095522388062
13129.8,1.89797014925378
13133.8,1.81820000000001
13137.8,1.89339999999996
13141.8,2.017
13145.8,1.99985714285715
13149.8,2.13465454545448
13153.8,2.15657142857148
13157.8,1.943
13161.8,1.90009090909091
13165.8,1.82239285714286
13169.8,1.73282926829269
13173.8,1.84911111111103
13177.8,2.29323684210537
13181.8,2.13636842105263
13185.8,1.98688888888883
13189.8,2.492
13193.8,2.23257894736835
13197.8,2.36057894736843
13201.8,2.35477777777781
13205.8,2.22978947368432
13209.8,2.12568421052632
13213.8,2.14536842105266
13217.8,2.09399999999997
13221.8,2.18561290322581
13225.8,2.16118750000001
13229.8,2.09790322580645
