"age","d13c","auth"
13186,0.81,"Tian"
13187.9,0.972,"Tian"
13189.8,0.945,"Tian"
13191.6,0.831,"Tian"
13193.5,0.83,"Tian"
13195.4,0.834,"Tian"
13197.2,0.91,"Tian"
13199.1,0.856,"Tian"
13201,1.108,"Tian"
13202.8,1.062,"Tian"
13204.7,1.043,"Tian"
13206.6,0.817,"Tian"
13208.4,0.794,"Tian"
13210.3,0.704,"Tian"
13212.8,0.909,"Tian"
13214.7,0.822,"Tian"
13216.6,0.882,"Tian"
13219.8,0.809,"Tian"
13222.9,0.984,"Tian"
13226.1,0.841,"Tian"
13229.3,0.778,"Tian"
13232.4,0.91,"Tian"
13235.6,0.892,"Tian"
13238.8,0.806,"Tian"
13245.1,0.637,"Tian"
13248.3,0.732,"Tian"
13251.4,0.804,"Tian"
13254.6,0.495,"Tian"
13256.8,0.581,"Tian"
13258.7,0.782,"Tian"
13260.6,0.9,"Tian"
13262.5,0.706,"Tian"
13263.9,0.887,"Tian"
13265.8,0.82,"Tian"
13267.7,0.91,"Tian"
13269.6,0.925,"Tian"
13271.5,1.118,"Tian"
13273.4,0.654,"Tian"
13275.3,0.877,"Tian"
13277.2,0.605,"Tian"
13279.1,1.047,"Tian"
13281,1.014,"Tian"
13282.9,1.055,"Tian"
13284.8,1.018,"Tian"
13286.8,1.021,"Tian"
13288.7,0.935,"Tian"
13290.6,1.085,"Tian"
13292.5,0.909,"Tian"
13296.1,0.97,"Tian"
13299.7,0.749,"Tian"
13303.4,0.868,"Tian"
13306.1,0.942,"Tian"
13309.7,0.892,"Tian"
13313.3,0.908,"Tian"
13317,0.799,"Tian"
13320.6,1.026,"Tian"
13324.2,1.041,"Tian"
13327.9,0.886,"Tian"
13331.5,0.931,"Tian"
13335.1,0.734,"Tian"
13338.6,0.801,"Tian"
13342.1,0.664,"Tian"
13345.6,0.954,"Tian"
13349,0.956,"Tian"
13352.5,0.818,"Tian"
13356,0.977,"Tian"
13359.5,1.091,"Tian"
13363,1.111,"Tian"
13366.4,1.176,"Tian"
13369.9,1.17,"Tian"
13372.5,0.911,"Tian"
13375.9,0.898,"Tian"
13378.9,1.083,"Tian"
13381.8,1.03,"Tian"
13384.8,1.015,"Tian"
13387.8,1.056,"Tian"
13390.7,1.216,"Tian"
13393.7,1.153,"Tian"
13396.7,1.07,"Tian"
13399.6,1.102,"Tian"
13402.6,1.177,"Tian"
13405.5,1.014,"Tian"
13408.5,0.887,"Tian"
13411.5,1.032,"Tian"
13414.4,0.898,"Tian"
13417.4,0.873,"Tian"
13419.5,1.025,"Tian"
13421.5,0.95,"Tian"
13423.6,0.961,"Tian"
13425.2,1.027,"Tian"
13428.8,1.044,"Tian"
13430.9,1.029,"Tian"
13432.9,0.94,"Tian"
13435,0.9,"Tian"
13437.1,1.032,"Tian"
13439.1,0.999,"Tian"
13441.2,1.099,"Tian"
13443.3,1.096,"Tian"
13445.4,0.83,"Tian"
