"depth","age","d13c","d18o","auth"
295.02,13131.1,0.778,1.832,"Tian"
295.1,13135.6,0.411,1.809,"Tian"
295.18,13141.1,0.747,2.02,"Tian"
295.26,13146.7,0.755,1.996,"Tian"
295.34,13152.2,1.114,2.242,"Tian"
295.42,13157.8,0.96,1.943,"Tian"
295.5,13163.3,0.67,1.884,"Tian"
295.58,13168.9,0.663,1.746,"Tian"
295.66,13173,0.571,1.686,"Tian"
295.74,13174.8,1.007,2.053,"Tian"
295.82,13176.7,1.037,2.385,"Tian"
295.9,13178.6,0.83,2.171,"Tian"
295.9,13178.6,0.902,2.282,"Tian"
295.98,13180.4,0.864,2.087,"Tian"
296.06,13182.3,0.7,2.154,"Tian"
296.14,13184.2,0.673,1.866,"Tian"
296.22,13186,0.81,2.002,"Tian"
296.3,13187.9,0.972,2.229,"Tian"
296.38,13189.8,0.945,2.492,"Tian"
296.46,13191.6,0.831,2.358,"Tian"
296.54,13193.5,0.83,2.201,"Tian"
296.62,13195.4,0.834,2.401,"Tian"
296.7,13197.2,0.91,2.365,"Tian"
296.78,13199.1,0.856,2.351,"Tian"
296.86,13201,1.108,2.413,"Tian"
296.94,13202.8,1.062,2.282,"Tian"
297.02,13204.7,1.043,2.323,"Tian"
297.1,13206.6,0.817,2.162,"Tian"
297.18,13208.4,0.794,2.192,"Tian"
297.26,13210.3,0.704,2.102,"Tian"
297.37,13212.8,0.909,2.178,"Tian"
297.45,13214.7,0.822,2.116,"Tian"
297.53,13216.6,0.882,2.046,"Tian"
297.61,13219.8,0.809,2.174,"Tian"
297.69,13222.9,0.984,2.192,"Tian"
297.77,13226.1,0.841,2.158,"Tian"
297.85,13229.3,0.778,2.08,"Tian"
297.93,13232.4,0.91,2.191,"Tian"
298.01,13235.6,0.892,1.816,"Tian"
298.09,13238.8,0.806,1.948,"Tian"
298.25,13245.1,0.637,2.078,"Tian"
298.33,13248.3,0.732,1.796,"Tian"
298.41,13251.4,0.804,2.134,"Tian"
298.49,13254.6,0.495,1.745,"Tian"
298.57,13256.8,0.581,1.827,"Tian"
298.65,13258.7,0.782,2.026,"Tian"
298.73,13260.6,0.9,2.017,"Tian"
298.81,13262.5,0.706,1.969,"Tian"
298.87,13263.9,0.887,2.083,"Tian"
298.95,13265.8,0.82,1.93,"Tian"
299.03,13267.7,0.91,1.89,"Tian"
299.11,13269.6,0.925,1.953,"Tian"
299.19,13271.5,1.118,2.306,"Tian"
299.27,13273.4,0.654,1.808,"Tian"
299.35,13275.3,0.877,2.214,"Tian"
299.43,13277.2,0.605,2.237,"Tian"
299.51,13279.1,1.047,2.332,"Tian"
299.59,13281,1.014,2.175,"Tian"
299.67,13282.9,1.055,2.366,"Tian"
299.75,13284.8,1.018,1.952,"Tian"
299.83,13286.8,1.021,2.099,"Tian"
